"","scale_factor","section","user","system","total"
"1",0,0,0,0,0
"2",0.01,1,0.0500000000000007,0,0.054000000000002
"3",0.01,2,1.07,0.068,1.165
"4",0.01,3,1.12,0.068,1.219
"5",0.05,1,0.21,0,0.210000000000001
"6",0.05,2,4.69,3.43,8.135
"7",0.05,3,4.9,3.43,8.345
"8",0.1,1,0.780999999999999,0.00600000000000023,0.786999999999999
"9",0.1,2,20.497,22.517,43.038
"10",0.1,3,21.278,22.523,43.825
"11",0.15,1,1.719,0.00799999999999912,1.726
"12",0.15,2,43.113,51.471,94.609
"13",0.15,3,44.832,51.479,96.335
"14",0.2,1,3.125,0.305000000000007,3.45400000000001
"15",0.2,2,79.005,94.83,173.879
"16",0.2,3,82.13,95.135,177.334
"17",0.25,1,5.03299999999999,0.64500000000001,5.685
"18",0.25,2,132.358,164.134,297.043
"19",0.25,3,137.391,164.779,302.728
"20",0.3,1,7.40099999999995,1.714,9.12600000000009
"21",0.3,2,195.033,232.875,428.429
"22",0.3,3,202.434,234.589,437.555
