"","scale_factor","section","user","system","total"
"1",0,0,0,0,0
"2",0.01,1,0.0510000000000002,0.003,0.105000000000004
"3",0.01,2,1.067,0.0650000000000001,1.179
"4",0.01,3,1.118,0.0680000000000001,1.28400000000001
"5",0.05,1,0.209,0,0.207999999999998
"6",0.05,2,4.679,3.502,8.198
"7",0.05,3,4.888,3.502,8.407
"8",0.1,1,0.766,0.0410000000000004,0.807000000000002
"9",0.1,2,20.348,24.316,44.685
"10",0.1,3,21.114,24.357,45.492
"11",0.15,1,1.678,0.00799999999999912,1.68600000000001
"12",0.15,2,44.573,55.633,100.231
"13",0.15,3,46.251,55.641,101.917
