"","scale_factor","section","user","system","total"
"1",0,0,0,0,0
"2",0.1,1,1.234,0.044,1.284
"3",0.1,2,21.348,22.758,44.168
"4",0.1,3,22.582,22.802,45.452
"5",0.15,1,1.76,0.138999999999999,1.90000000000001
"6",0.15,2,43.412,54.316,97.803
"7",0.15,3,45.172,54.455,99.703
"8",0.2,1,3.15400000000001,0.247,3.40199999999999
"9",0.2,2,78.636,97.506,176.252
"10",0.2,3,81.79,97.753,179.654
"11",0.25,1,5.02099999999999,0.638000000000005,5.66399999999999
"12",0.25,2,123.217,141.05,264.433
"13",0.25,3,128.238,141.688,270.097
"14",0.3,1,7.38000000000005,0.971000000000004,8.35700000000008
"15",0.3,2,182.397,206.342,388.987
"16",0.3,3,189.777,207.313,397.344
"17",0.35,1,11.441,2.18399999999997,13.6310000000001
"18",0.35,2,270.309,352.515,623.186
"19",0.35,3,281.75,354.699,636.817
"20",0.4,1,14.5740000000001,2.52100000000007,17.105
"21",0.4,2,365.828,510.089,876.437
"22",0.4,3,380.402,512.61,893.542
