"","scale_factor","section","user","system","total","mem"
"1","0","text","0","0","0","0"
"2","0.1","T_setup","1.3","0.0630000000000001","1.367","0"
"3","0.1","T_run","22.152","22.691","44.943","0"
"4","0.1","T_all","23.452","22.754","46.31","0"
"5","0.1","M_start","0","0","0","118493168"
"6","0.1","M_combined","0","0","0","119578280"
"7","0.1","M_distmat","0","0","0","130955128"
"8","0.1","M_setup","0","0","0","131124216"
"9","0.1","M_final","0","0","0","141533552"
"10","0.15","T_setup","2.091","0.0390000000000015","2.13000000000001","0"
"11","0.15","T_run","44.217","50.846","95.194","0"
"12","0.15","T_all","46.308","50.885","97.324","0"
"13","0.15","M_start","0","0","0","119725016"
"14","0.15","M_combined","0","0","0","122914648"
"15","0.15","M_distmat","0","0","0","145163672"
"16","0.15","M_setup","0","0","0","145389896"
"17","0.15","M_final","0","0","0","167002960"
"18","0.2","T_setup","3.56100000000001","0.198999999999998","3.75899999999999","0"
"19","0.2","T_run","84.921","110.566","195.576","0"
"20","0.2","T_all","88.482","110.766","199.335","0"
"21","0.2","M_start","0","0","0","119734112"
"22","0.2","M_combined","0","0","0","123968544"
"23","0.2","M_distmat","0","0","0","163262656"
"24","0.2","M_setup","0","0","0","163546192"
"25","0.2","M_final","0","0","0","201962856"
"26","0.25","T_setup","5.53300000000002","0.716000000000008","6.25","0"
"27","0.25","T_run","129.678","158.468","293.288","0"
"28","0.25","T_all","135.211","159.184","299.538","0"
"29","0.25","M_start","0","0","0","119739216"
"30","0.25","M_combined","0","0","0","125022848"
"31","0.25","M_distmat","0","0","0","186144960"
"32","0.25","M_setup","0","0","0","186502896"
"33","0.25","M_final","0","0","0","246523160"
"34","0.3","T_setup","8.06699999999995","0.492000000000019","8.55999999999995","0"
"35","0.3","T_run","202.091","250.373","452.622","0"
"36","0.3","T_all","210.158","250.865","461.182","0"
"37","0.3","M_start","0","0","0","119744248"
"38","0.3","M_combined","0","0","0","126077080"
"39","0.3","M_distmat","0","0","0","213827192"
"40","0.3","M_setup","0","0","0","214259528"
"41","0.3","M_final","0","0","0","300683392"
"42","0.35","T_setup","10.989","1.10599999999999","12.095","0"
"43","0.35","T_run","279.622","337.859","617.671","0"
"44","0.35","T_all","290.611","338.966","629.766","0"
"45","0.35","M_start","0","0","0","119749352"
"46","0.35","M_combined","0","0","0","127131384"
"47","0.35","M_distmat","0","0","0","246309496"
"48","0.35","M_setup","0","0","0","246816232"
"49","0.35","M_final","0","0","0","364443696"
"50","0.4","T_setup","14.427","1.57799999999997","16.008","0"
"51","0.4","T_run","423.631","567.048","990.886","0"
"52","0.4","T_all","438.058","568.626","1006.894","0"
"53","0.4","M_start","0","0","0","119754360"
"54","0.4","M_combined","0","0","0","128185592"
"55","0.4","M_distmat","0","0","0","283591704"
"56","0.4","M_setup","0","0","0","284172840"
"57","0.4","M_final","0","0","0","437803904"
"58","0.45","T_setup","18.9080000000001","2.09999999999991","21.009","0"
"59","0.45","T_run","663.665","1000.78","1664.898","0"
"60","0.45","T_all","682.573","1002.88","1685.907","0"
"61","0.45","M_start","0","0","0","119759376"
"62","0.45","M_combined","0","0","0","129239808"
"63","0.45","M_distmat","0","0","0","325673920"
"64","0.45","M_setup","0","0","0","326329456"
"65","0.45","M_final","0","0","0","520764120"
"66","0.5","T_setup","23.749","4.56799999999976","28.3219999999992","0"
"67","0.5","T_run","762.283","1190.464","2012.223","0"
"68","0.5","T_all","786.032","1195.032","2040.545","0"
"69","0.5","M_start","0","0","0","119764472"
"70","0.5","M_combined","0","0","0","130294104"
"71","0.5","M_distmat","0","0","0","372556216"
"72","0.5","M_setup","0","0","0","373286152"
"73","0.5","M_final","0","0","0","613324416"
