"","scale_factor","section","user","system","total"
"1",0,0,0,0,0
"2",0.3,1,9.183,1.047,10.238
"3",0.3,2,196.973,250.896,447.923
"4",0.3,3,206.156,251.943,458.161
"5",0.35,1,10.849,3.83000000000001,14.681
"6",0.35,2,286.784,387.374,674.469
"7",0.35,3,297.633,391.204,689.15
"8",0.4,1,14.783,4.95099999999991,19.7339999999999
"9",0.4,2,431.421,596.352,1027.953
"10",0.4,3,446.204,601.303,1047.687
"11",0.45,1,19.1990000000001,5.19399999999996,24.3999999999996
"12",0.45,2,634.614,966.543,1601.282
"13",0.45,3,653.813,971.737,1625.682
"14",0.5,1,24.289,6.20600000000013,30.4989999999998
"15",0.5,2,650.878,904.761,1555.791
"16",0.5,3,675.167,910.967,1586.29
